"CEPSA L-D: 09:00-14:00 y 16:00-18:00 0,748 e","CEPSA L-D: 09:00-14:00 y 16:00-18:00 0,748 e",-16.73789,28.07933,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.64017,28.15303,,,,
"CEPSA L-D: 06:00-23:00 0,740 e","CEPSA L-D: 06:00-23:00 0,740 e",-16.82225,28.19386,,,,
"TF-47","TF-47",-16.82292,28.19453,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.78794,28.22469,,,,
"TF-82 Avenida Del Coronel Gorrín","TF-82 Avenida Del Coronel Gorrín",-16.81834,28.27015,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-17.33561,28.09450,,,,
"CEPSA L-D: 08:00-19:00 0,740 e","CEPSA L-D: 08:00-19:00 0,740 e",-17.27771,28.10678,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-17.18865,28.17231,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-17.26497,28.17903,,,,
"CEPSA L-D: 24H 0,740 e","CEPSA L-D: 24H 0,740 e",-16.43328,28.16908,,,,
"CEPSA Horario Especial 0,716 e","CEPSA Horario Especial 0,716 e",-16.48003,28.18253,,,,
"CEPSA L-D: 06:00-22:00 0,728 e","CEPSA L-D: 06:00-22:00 0,728 e",-16.42331,28.21350,,,,
"CEPSA Horario Especial 0,716 e","CEPSA Horario Especial 0,716 e",-16.43958,28.23642,,,,
"CEPSA L-D: 06:00-00:00 0,740 e","CEPSA L-D: 06:00-00:00 0,740 e",-16.37193,28.35683,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.81558,28.29383,,,,
"TF-82","TF-82",-16.81547,28.29406,,,,
"TF-42 Avenida De Los Moralitos","TF-42 Avenida De Los Moralitos",-16.82000,28.36567,,,,
"TF-42","TF-42",-16.84749,28.36972,,,,
"CEPSA BUENAVISTA Horario Especial 0,740 e","CEPSA BUENAVISTA Horario Especial 0,740 e",-16.84825,28.36989,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.61897,28.37911,,,,
"CEPSA LOS BARROS L-D: 24H 0,727 e","CEPSA LOS BARROS L-D: 24H 0,727 e",-16.58217,28.39008,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.55833,28.39483,,,,
"CEPSA L-D: 08:00-21:00 0,740 e","CEPSA L-D: 08:00-21:00 0,740 e",-16.67217,28.39022,,,,
"CEPSA LA AZADILLA L-D: 24H 0,727 e","CEPSA LA AZADILLA L-D: 24H 0,727 e",-16.59006,28.37364,,,,
"CEPSA L-D: 24H 0,734 e","CEPSA L-D: 24H 0,734 e",-16.51986,28.39436,,,,
"TF-21","TF-21",-16.51995,28.39511,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.52233,28.39833,,,,
"CEPSA Horario Especial 0,740 e","CEPSA Horario Especial 0,740 e",-16.54833,28.41439,,,,
"CEPSA EL BOHIO L-D: 24H 0,740 e","CEPSA EL BOHIO L-D: 24H 0,740 e",-16.46047,28.44953,,,,
"Ctra. sin nombre","Ctra. sin nombre",-16.54834,28.41518,,,,
"CEPSA L-D: 24H 0,741 e","CEPSA L-D: 24H 0,741 e",-16.32022,28.41933,,,,
"CEPSA LA MATANZA L-D: 06:00-22:00 0,740 e","CEPSA LA MATANZA L-D: 06:00-22:00 0,740 e",-16.45056,28.45664,,,,
"CEPSA Horario Especial 0,741 e","CEPSA Horario Especial 0,741 e",-16.41510,28.46100,,,,
"CEPSA Horario Especial 0,720 e","CEPSA Horario Especial 0,720 e",-16.42122,28.47383,,,,
"CEPSA TEJINA L-D: 07:00-22:00 0,740 e","CEPSA TEJINA L-D: 07:00-22:00 0,740 e",-16.36306,28.53325,,,,
"Tf-2","Tf-2",-16.30368,28.42649,,,,
"CEPSA CUEVAS BLANCAS L-D: 06:30-23:00 0,740 e","CEPSA CUEVAS BLANCAS L-D: 06:30-23:00 0,740 e",-16.30450,28.42731,,,,
"CEPSA VIA PENETRACION L-D: 24H 0,716 e","CEPSA VIA PENETRACION L-D: 24H 0,716 e",-16.26142,28.45150,,,,
"TF-11 Avenida De Francisco La Roche","TF-11 Avenida De Francisco La Roche",-16.24308,28.47884,,,,
"TF-11 Avenida De Francisco La Roche","TF-11 Avenida De Francisco La Roche",-16.23228,28.48805,,,,
"CEPSA BALNEARIO II L-D: 24H 0,740 e","CEPSA BALNEARIO II L-D: 24H 0,740 e",-16.23161,28.48861,,,,
"CEPSA BALNEARIO I L-D: 06:00-22:00 0,740 e","CEPSA BALNEARIO I L-D: 06:00-22:00 0,740 e",-16.23189,28.48911,,,,
"CEPSA LAS DELICIAS L-D: 06:00-22:00 0,740 e","CEPSA LAS DELICIAS L-D: 06:00-22:00 0,740 e",-16.28343,28.45244,,,,
"Avenida De Los Majuelos","Avenida De Los Majuelos",-16.29652,28.45452,,,,
"CEPSA LOS MAJUELOS L-D: 24H 0,740 e","CEPSA LOS MAJUELOS L-D: 24H 0,740 e",-16.29672,28.45467,,,,
"Avenida De Los Reyes Católicos","Avenida De Los Reyes Católicos",-16.26483,28.45736,,,,
"CEPSA FOMENTO L-D: 24H 0,740 e","CEPSA FOMENTO L-D: 24H 0,740 e",-16.25350,28.45836,,,,
"CEPSA TIO PINO L-D: 06:00-22:00 0,740 e","CEPSA TIO PINO L-D: 06:00-22:00 0,740 e",-16.27231,28.45842,,,,
"CEPSA Horario Especial 0,737 e","CEPSA Horario Especial 0,737 e",-16.28378,28.46611,,,,
"CEPSA ARACAYU L-D: 24H 0,740 e","CEPSA ARACAYU L-D: 24H 0,740 e",-16.27103,28.46739,,,,
"CEPSA Horario Especial 0,737 e","CEPSA Horario Especial 0,737 e",-16.28581,28.46767,,,,
"Tf-375 Autopista Del Norte","Tf-375 Autopista Del Norte",-16.31786,28.48027,,,,
"TF-121/TF-263","TF-121/TF-263",-16.31792,28.48188,,,,
"CEPSA RIO CABRAS L-D: 24H 0,728 e","CEPSA RIO CABRAS L-D: 24H 0,728 e",-13.86681,28.46872,,,,
"CEPSA Horario Especial 0,753 e","CEPSA Horario Especial 0,753 e",-13.86258,28.49744,,,,
"CEPSA MERCASOSA L-D: 24H 0,728 e","CEPSA MERCASOSA L-D: 24H 0,728 e",-13.85056,28.50619,,,,
"CEPSA  L-D: 06:00-22:00 0,728 e","CEPSA  L-D: 06:00-22:00 0,728 e",-13.87750,28.51683,,,,
"CEPSA L-D: 06:00-22:00 0,728 e","CEPSA L-D: 06:00-22:00 0,728 e",-13.87631,28.51683,,,,
"CEPSA L-D: 07:00-21:00 0,722 e","CEPSA L-D: 07:00-21:00 0,722 e",-17.84136,28.49400,,,,
"CEPSA L-D: 07:00-21:00 0,743 e","CEPSA L-D: 07:00-21:00 0,743 e",-17.75265,28.61906,,,,
"CEPSA L-D: 06:30-22:30 0,740 e","CEPSA L-D: 06:30-22:30 0,740 e",-17.90803,28.63136,,,,
"CEPSA L-D: 06:00-22:00 0,740 e","CEPSA L-D: 06:00-22:00 0,740 e",-17.88147,28.65056,,,,
"CEPSA L-D: 06:00-22:00 0,740 e","CEPSA L-D: 06:00-22:00 0,740 e",-17.91641,28.65886,,,,
