"847-Sanxenxo","-8,81388","42,41175"
"815-Cangas","-8,75779","42,26582"
"803-Vilagarcia de Arousa","-8,75697","42,59456"
"808-Vigo - Avd. Madrid","-8,70439","42,21874"
"848-Vigo - Meixueiro ","-8,68625","42,21697"
"809-Carballo","-8,68496","43,22156"
"825-Tui","-8,65865","42,03744"
"838-Pontevedra Av. Vigo","-8,63914","42,41767"
"821-Pontevedra / Mourente","-8,6228","42,4341"
"805-Porriño","-8,6213","42,16545"
"813-Santiago/La Rocha","-8,56517","42,86648"
"828-Santiago/Costa Vella","-8,51051","42,90101"
"831-Coruña - A Grela","-8,4276","43,34725"
"801-Coruña/Elviña","-8,40478","43,33719"
"802-Culleredo","-8,38127","43,32615"
"844-Oleiros/Iñás","-8,31438","43,32177"
"824-Betanzos","-8,2156","43,27522"
"830-Ferrol-A Gándara","-8,2006","43,4874"
"832-Lalin - Cc Deza","-8,10352","42,6688"
"843-Ourense","-7,89142","42,35575"
"810-Ourense Barbadás","-7,87868","42,32207"
"804-Lugo","-7,56945","43,02795"
"812-Monforte de Lemos ???????????????????","-7,52284","42,52459"
"840-Ribadeo","-7,05885","43,5392"
"833-O Barco de Valdeorras ?????????????","-6,99507","42,42362"
"807-Ponferrada ?????????????","-6,60938","42,54993"
"554-Navalmoral de la Mata","-5,54429","39,89638"
"5023-Talavera de la Reina","-4,79583","39,96705"
"5004-Torrijos","-4,27986","39,99022"
"513-Plasencia","-6,09753","40,02187"
"570-El Escorial","-4,12781","40,60212"
"558-Ávila","-4,68095","40,65891"
"575-Salamanca La Salle","-5,67772","40,95743"
"543-Salamanca Paseo Estación","-5,64789","40,97291"
"511-Medina del Campo","-4,91758","41,31878"
"521-Zamora","-5,74465","41,51544"
"586-Jalón","-4,72042","41,61896"
"576-Valladolid Las Rasposas","-4,76051","41,62729"
"532-Vall Viveros","-4,71388","41,66361"
"583-Benavente","-5,66425","41,99924"
"437-Palencia","-4,52857","42,01948"
"472-Ponferrada/Montearenas","-6,57422","42,5511"
"850-León Saenz de Miera ?????????????????","-5,57236","42,5809"
"478-La Torre - león","-5,55987","42,60603"
"414-Reinosa","-4,12765","43,00818"
"410-Langredo","-5,69435","43,30676"
"461-Oviedo El Rosal","-5,84823","43,3592"
"470-La Florida","-5,87404","43,36593"
"454-Avda. del Mar","-5,83385","43,37692"
"836-Grado","-6,05939","43,394"
"460-Gijón Roces","-5,68858","43,51097"
"453-Gijón Viesques","-5,64994","43,52968"
"446-Moreda","-5,68674","43,53704"
"440-Gijón","-5,65185","43,53903"
"423-Avilés Canapés","-5,91453","43,54732"
"425-Avilés Maruca","-5,92878","43,57382"
"504-Toledo (entrada parking)","-3,94722","39,8692"
"589-Toledo Plaza Grecia","-4,02695","39,88182"
"590-Aranjuez","-3,61279","40,05775"
"5022-Parla La Ermita","-3,7797","40,22795"
"536-Parla","-3,76331","40,23961"
"577-Parla La Fuente","-3,77796","40,24256"
"517-Fuenlabrada","-3,80245","40,27643"
"5018-Arroyomolinos","-3,91866","40,2809"
"5031-Fuenlabrada Polvoranca","-3,78232","40,28633"
"5025-Fuenlabrada Vivero","-3,82505","40,29772"
"587-Getafe","-3,70236","40,30352"
"572-Móstoles PP8 Alfonso XII","-3,86673","40,31389"
"5006-Leganés - C/ Juan de la Cierva","-3,74222","40,32944"
"531-Móstoles PP2 El Soto","-3,88592","40,33143"
"509-Alcorcón Rivota","-3,83408","40,33755"
"559-Leganés Norte","-3,74922","40,34258"
"542-Alcorcón Parque Oeste","-3,84883","40,34837"
"580-Andalucía","-3,69508","40,37095"
"555-Carabanchel","-3,74369","40,37277"
"548-Pablo Neruda","-3,66054","40,38159"
"528-Álvarez Avellán","-3,73028","40,38315"
"568-Marcelo Usera","-3,70695","40,38484"
"588-Antonio López","-3,69629","40,38531"
"515-La Oca","-3,74103","40,38865"
"526-Martínez de la Riva","-3,6647","40,38949"
"561-Vía Carpetana (parking)","-3,74132","40,3918"
"5005-Puente de Praga","-3,7084","40,39426"
"534-Albufera","-3,6654","40,39644"
"540-Hacienda de Pavones","-3,634","40,40017"
"578-Embajadores","-3,70032","40,402"
"556-Sierra Toledana","-3,66029","40,40243"
"563-Áncora","-3,69293","40,40315"
